Sigma,rouge-1-r,rouge-1-p,rouge-1-f,rouge-2-r,rouge-2-p,rouge-2-f,rouge-l-r,rouge-l-p,rouge-l-f,tn-r1-f,tn-r2-f,tn-rl-f
0.3,0.559330057,0.45609544,0.484974883,0.416039904,0.357369513,0.368298468,0.49721973,0.41291413,0.435752629,0.490588947,0.381699937,0.445846941
0.4,0.568487051,0.463188329,0.493044276,0.425341255,0.365023951,0.37665437,0.507505543,0.420382901,0.444404695,0.490588947,0.381699937,0.445846941
0.5,0.565843585,0.459096946,0.489885226,0.421080024,0.359963337,0.372297226,0.503344023,0.415691775,0.440332981,0.490588947,0.381699937,0.445846941
0.6,0.567038609,0.45676997,0.488793316,0.42429006,0.359960452,0.37339643,0.505866559,0.414643398,0.440560633,0.490588947,0.381699937,0.445846941
0.7,0.566586635,0.453947926,0.486877871,0.421964795,0.355973388,0.370133241,0.502198097,0.410066235,0.436452142,0.490588947,0.381699937,0.445846941
0.8,0.565324349,0.452551321,0.485391674,0.421848405,0.35532092,0.36967641,0.500864237,0.408604227,0.434906983,0.490588947,0.381699937,0.445846941
0.9,0.569285975,0.454807082,0.488110803,0.425882355,0.356856431,0.371770784,0.505793476,0.411448882,0.438344288,0.490588947,0.381699937,0.445846941
1,0.564877041,0.453101157,0.48498371,0.420452915,0.355559389,0.36884286,0.501880122,0.410232481,0.435707045,0.490588947,0.381699937,0.445846941
2,0.570798731,0.454958525,0.48865164,0.427696378,0.358441519,0.373599334,0.508355411,0.412382461,0.439778045,0.490588947,0.381699937,0.445846941
3,0.57254754,0.454544263,0.489076116,0.428973891,0.357651316,0.373438019,0.509656221,0.411919354,0.440047715,0.490588947,0.381699937,0.445846941
4,0.576063614,0.455533119,0.490602064,0.432003877,0.358335047,0.374619798,0.511946596,0.412227659,0.440760454,0.490588947,0.381699937,0.445846941
5,0.572766585,0.45385868,0.488829987,0.429227549,0.356636869,0.373115591,0.508361789,0.410045687,0.438534591,0.490588947,0.381699937,0.445846941
6,0.570611746,0.453576397,0.487682319,0.427526355,0.357647136,0.372950153,0.50630662,0.410134932,0.437661692,0.490588947,0.381699937,0.445846941
7,0.575075608,0.455217299,0.490131114,0.433067444,0.359012045,0.375580957,0.511388943,0.412051521,0.440519467,0.490588947,0.381699937,0.445846941
8,0.570890443,0.453129996,0.487447099,0.427089905,0.355938063,0.371627601,0.507364287,0.409756975,0.437691059,0.490588947,0.381699937,0.445846941
9,0.574781186,0.457471471,0.491589628,0.431504056,0.361132848,0.376509986,0.510353526,0.413930161,0.441447118,0.490588947,0.381699937,0.445846941
10,0.574068453,0.456031564,0.490389408,0.430642761,0.359401691,0.374974381,0.51153281,0.413504201,0.441516747,0.490588947,0.381699937,0.445846941
2.50E-09,0.573463238,0.470261209,0.498087621,0.444134906,0.375884157,0.389803825,0.51894119,0.432904499,0.455437066,0.490588947,0.381699937,0.445846941
5.00E-09,0.577803605,0.467495925,0.498837594,0.451648033,0.375253201,0.392643603,0.526078773,0.431807853,0.458060762,0.490588947,0.381699937,0.445846941
7.50E-09,0.579343716,0.46891638,0.499960273,0.455846306,0.37576851,0.394511201,0.529418495,0.434396209,0.460696903,0.490588947,0.381699937,0.445846941
2.50E-08,0.573198523,0.462660438,0.493556409,0.44841783,0.369352644,0.387310742,0.519409378,0.424867407,0.450781336,0.490588947,0.381699937,0.445846941
5.00E-08,0.579210689,0.467758567,0.499087145,0.452902054,0.375035111,0.393040745,0.52503331,0.429897651,0.456284559,0.490588947,0.381699937,0.445846941
7.50E-08,0.571970761,0.461117538,0.492560526,0.442921392,0.364746678,0.38321343,0.518651086,0.424186265,0.450534752,0.490588947,0.381699937,0.445846941
2.50E-07,0.577569547,0.46437733,0.496550983,0.452649594,0.371744956,0.390620734,0.52713133,0.429368684,0.456701564,0.490588947,0.381699937,0.445846941
5.00E-07,0.578425063,0.471465583,0.501634183,0.45379902,0.379790109,0.396879987,0.52799487,0.436392592,0.461857424,0.490588947,0.381699937,0.445846941
7.50E-07,0.575724286,0.466676739,0.497120708,0.447591282,0.373020398,0.389899039,0.521066625,0.429283229,0.454533597,0.490588947,0.381699937,0.445846941
