Sigma,rouge-1-r,rouge-1-p,rouge-1-f,rouge-2-r,rouge-2-p,rouge-2-f,rouge-l-r,rouge-l-p,rouge-l-f,tn-r1-f,tn-r2-f,tn-rl-f
0.9,0.5613662320221084,0.45417379984712136,0.4854240137795463,0.4215235767855977,0.35728074617549843,0.37144840159083636,0.5018984256796043,0.41318604348574517,0.4385596279414744,0.490588947,0.381699937,0.445846941
1.0,0.5611051949198607,0.45185679771259474,0.48399876967167177,0.4195094323931837,0.35424365454142936,0.368971203760635,0.5003517048136442,0.41005664129542907,0.4361816664378564,0.490588947,0.381699937,0.445846941
2.0,0.5698534880738569,0.4563934983710841,0.4902325627989266,0.4289017139942388,0.3606083779241658,0.3764663043482763,0.5079975343096057,0.4148284680169209,0.4421869504420166,0.490588947,0.381699937,0.445846941
3.0,0.5682312764272393,0.45501016105839676,0.4887442288553713,0.4275705865155792,0.35904215188835853,0.375027983593501,0.5074630117289367,0.4136677954174373,0.4411924465357246,0.490588947,0.381699937,0.445846941
4.0,0.5684918135040181,0.45438877412951106,0.48848629641731584,0.4268981494197294,0.357604597854308,0.3738097524070086,0.5074380232588492,0.41275813263876876,0.4406097698558356,0.490588947,0.381699937,0.445846941
5.0,0.5718304321867687,0.4564675334453486,0.4908811250742197,0.43191939999249707,0.36104975802105355,0.37763833138540537,0.5127881156191582,0.41631445729012234,0.4447064067470846,0.490588947,0.381699937,0.445846941
6.0,0.5676119112767936,0.4538122300689774,0.4879716432812197,0.42651930647579406,0.357431772409481,0.3736097543488965,0.5061328935522423,0.4121023403504135,0.4399135089106186,0.490588947,0.381699937,0.445846941
7.0,0.5710548659870076,0.4563581906157392,0.490790117424906,0.43083706407790423,0.360766463749535,0.37731925815502454,0.5108445306800486,0.41571947357576455,0.44383652075670577,0.490588947,0.381699937,0.445846941
8.0,0.570076395154837,0.45456002563259407,0.48901922156317423,0.4301767901180018,0.35947943429122564,0.3760828400109738,0.5105853152897193,0.41429394464396446,0.44258158648669255,0.490588947,0.381699937,0.445846941
9.0,0.5692663736640781,0.4538958452250963,0.4882727635888871,0.42893464189974045,0.358322243296552,0.3747374717869078,0.5099452871166563,0.41371271546360266,0.4419095980882895,0.490588947,0.381699937,0.445846941
10.0,0.5681383387961416,0.4537648661936596,0.4879539432891781,0.42604963218873776,0.3573844026042637,0.3732693162721337,0.5079065002207633,0.41272881569615394,0.44066471537245244,0.490588947,0.381699937,0.445846941
